,file,society,date,avis_positif,avis_negatif,status,poste,localisation,mean_rate,general_rate
1,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13713-AVIS-SOC-GLASSDOOR-E3142186_P1.html,Crédit Agricole,"Dec 12, 2019",13 mois et intéressement,"Évolution de poste extrêmement lente 
Pression commerciale (toujours plus de vente) 
Manque d’empathie de la direction",Employé actuel,Conseiller commercial,Coutances,0.0,2.0
2,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13679-AVIS-SOC-GLASSDOOR-E906809_P1.html,Fortuneo SA,"Nov 23, 2019","- projets variés et intéressants
- équilibre vie pro / vie perso (et 24 RTTs !) 
- équipes jeunes et dynamiques
- management à l'écoute","- inertie/frilosité dans les prises de décision
- impact important du contexte réglementaire",Employé actuel,Employé anonyme,Paris,3.5,5.0
3,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13673-AVIS-SOC-GLASSDOOR-E1464013_P1.html,Paris Inn Group,"Nov 6, 2019","- Très bon environnement & collègues
- Société en pleine croissance",- changement d'effectifs trop fréquent,Ancien stagiaire,Revenue Manager Assistant,Paris,2.2,5.0
4,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13646-AVIS-SOC-GLASSDOOR-E3489_P1.html,LVMH,"Dec 9, 2019","Tickets restaurant 200€, locaux modernes.",Pas de salles de sport / douches accessibles aux alternants,Employé actuel,Chargé De Projets,Paris,3.7,5.0
5,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13732-AVIS-SOC-GLASSDOOR-E158808_P1.html,Keyrus Group,"Dec 9, 2019",Des équipes humaines et très compétentes techniquement.,Manques de propositions de missions par le circuit classique (commerciaux) autour des thématiques du Cloud.,Employé actuel,Ingénieur Projet 1,Lyon,4.0,4.0
6,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13645-AVIS-SOC-GLASSDOOR-E14590_P2.html,Sephora,"Sep 30, 2019",International Excellence Innovation Développement Responsabilités,Il n'y a pas d'inconvénients,Ancien employé,Employé anonyme,"Montréal, QC",3.6,5.0
7,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13626-AVIS-SOC-GLASSDOOR-E3765_P1.html,BMO Financial Group,"Nov 24, 2019","Collègues sympathiques, pas de vente forcée (au téléphone), bon salaire.","Moins bons avantages sociaux que les autres banques, manque de discipline, personnel incompétent qui garde le même poste pendant plusieurs années.",Ancien employé,Agent Service clientèle,"Montréal, QC",3.7,3.0
8,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13622-AVIS-SOC-GLASSDOOR-E847875_P1.html,Morgan Philips Executive Search,"Jul 4, 2019","Bonne ambiance, locaux bien placés",Il n y en a pas,Employé actuel,Employé anonyme,Neuilly,3.9,3.0
9,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13587-AVIS-SOC-GLASSDOOR-E1838_P2.html,Robert Half,"Jul 3, 2019","Société qui sait challenger ses collaborateurs,  donne toutes les clés pour faire monter en compétence les équipes, beaucoup d'évolutions et de promotions en interne ! Du dynamisme, des équipes soudées, de l'envie, et de nombreux outils mis en places en interne (tablettes, locaux...)",Manque de flexibilité sur les horaires,Employé actuel,Division Manager,Paris,3.6,5.0
10,/home/virus/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13723-AVIS-SOC-GLASSDOOR-E373493_P2.html,Micropole,"Jun 3, 2019","Gestion de ma carrière,  la recherche d'expertise et certification, la technologie",Des missions que régie...Peut être créer un centre de service,Employé actuel,Manager,Lille,3.2,5.0
